            Date           Open   High    Low  Close Adj Close         Vol
73  Nov 12, 2018          53.13  53.58  52.28  52.35     51.88  19,003,300
74  Nov 09, 2018          53.09  53.39  52.73  53.04     52.56  18,972,200
75  Nov 08, 2018          52.90  53.60  52.86  53.16     52.68  22,429,200
76  Nov 08, 2018  0.43 Dividend   None   None   None      None        None
77  Nov 07, 2018          53.82  54.18  52.79  53.58     52.67  20,668,500
78  Nov 06, 2018          53.36  53.71  52.96  53.55     52.64  20,696,800
79  Nov 05, 2018          53.73  54.30  51.16  53.66     52.75  18,990,000
80  Nov 02, 2018          54.21  54.63  53.11  53.61     52.70  18,285,600
81  Nov 01, 2018          53.43  53.96  53.15  53.56     52.65  17,654,800
82  Oct 31, 2018          53.04  54.03  53.03  53.23     52.33  23,667,400
83  Oct 30, 2018          52.45  52.91  51.87  52.69     51.80  24,910,900
84  Oct 29, 2018          51.88  53.15  51.59  52.23     51.35  30,541,300
85  Oct 26, 2018          51.32  51.93  50.79  51.25     50.38  30,053,800
86  Oct 25, 2018          50.53  52.61  50.42  51.86     50.98  29,366,100
87  Oct 24, 2018          51.31  51.49  50.02  50.19     49.34  31,161,500
88  Oct 23, 2018          50.84  51.95  50.47  51.56     50.69  25,529,800
89  Oct 22, 2018          53.07  53.17  51.56  51.65     50.78  17,621,500
90  Oct 19, 2018          53.08  53.63  52.86  52.89     51.99  19,521,000
91  Oct 18, 2018          54.17  54.40  52.76  53.10     52.20  22,533,300
92  Oct 17, 2018          53.56  55.01  53.19  54.46     53.54  23,524,200
93  Oct 16, 2018          53.31  53.79  52.53  53.73     52.82  28,227,200
94  Oct 15, 2018          52.51  53.99  52.51  53.24     52.34  34,118,900
95  Oct 12, 2018          52.10  53.33  50.87  52.11     51.23  32,067,300
96  Oct 11, 2018          52.38  52.84  51.01  51.44     50.57  33,147,900
97  Oct 10, 2018          53.70  54.07  52.41  52.43     51.54  21,875,900
98  Oct 09, 2018          53.38  53.97  52.98  53.53     52.62  15,918,300
99  Oct 08, 2018          52.98  53.96  52.98  53.67     52.76  12,858,200
